metier_original,occurrences,mots_malgache,mots_francais
ASA ANTRANO,30,"trano, rano",
MIVAROTRA AMIN'NY EPICERIE,30,"miv, var",
MPAMPIANATRA PRESCOLAIRE,30,"mpi, mpam",
MAMBOLY LEGUMES,30,"mam, mboly",
CHAUFEUR,30,,
INFIRMIER,30,,
MIVAROTRA AKOHO,30,"miv, var, akoho",
MIKARAMA MANASA LAMBA,30,"man, lamba, karama",
MPIARAKANDRO,29,mpi,
VAROTRA,29,var,
MIKARAMA MAMBOLY,29,"mam, mboly, karama",
MPAMBOLY BALAHAZO,29,"mboly, mpam",
VENDEUSE,29,,
MANAO GARGOTTE,29,man,
CHARPENTIER,29,,
SARAKATSA,28,,
CAISSIER,28,,
maçon,28,,maçon
MABOLY VARY,28,"var, vary",
CHAUFFEUR TAXI BE,28,,chauffeur
MIHAZA,28,,
MAMBOLY LA VANILLE,27,"mam, mboly",
DOKOTERA,27,,
AIDE VENDEUR,27,,vendeur
MANAO SY MIVAROTRA SAKAFO MASAKA,27,"man, miv, var",
MAMBOLY VARY ANATY RANO,27,"mam, var, vary, rano, mboly",
MAMPIANATRA AMIN'NY CEG,27,"mpi, mam",
Manao sarakantsaha,27,man,
MITAIZA ZAZA,27,,
MIOPY KISOA,27,,
AGENT DE POLICE,27,,agent
MIVAROTRA OMBY,27,"miv, var, omby",
MPAMBOLY CACAO,27,"mboly, mpam",
CHEF ZAP,27,,chef
MPIVAROTRA RAKETA,27,"mpi, var",
MPIHADY SAPHIRE,26,mpi,
MPANAO KIBAROA,26,mpan,
MIVAROTRA AM EPICERIE,26,"miv, var",
MPAMPIANATRA AMIN EPP,26,"mpi, mpam",
MANASALAMBA,26,"man, lamba",
SOUDEUR,26,,
MPAMPIANATRA AMIN'NY CEG,26,"mpi, mpam",
MIVAROTRA KAPA,25,"miv, var",
MAMBOLY FARY,25,"mam, mboly",
BOUCHER,25,,
ASA AN-TRANO,24,"trano, rano",
MENAGERE,24,,
MANAO SOBIKA,24,man,
MANAO JOURNIER SARAKATSAHA,24,man,
MPAMBOLY TSARAMASO,24,"mboly, mpam",
MPIKARAMA MIAVA,24,"mpi, karama",
COIFFEUSE,24,,
MANAMBOATRA HARONA,24,man,
MIVAROTRA ENTA-MADINIKA,24,"miv, var",
MAMBOLY TABOARA,24,"mam, mboly",
MPANJAITRA LAMBA,24,"lamba, mpan",
RECEVEUR,24,,
MIOMPY OMBY VAVY BE RONONO,23,omby,
MIVAROTRA TOAKA GASY,23,"miv, var",
MPAMPIANATRA AMINY CEG,23,"mpi, mpam",
MPAMBOLY ANTSOROKO,23,"mboly, mpam",
MPAMPIANATRA CEG,23,"mpi, mpam",
MIVAROTRA AKONDRO,23,"miv, var",
MANAMPY MIKARAKARA LA VANILLE,23,man,
MPANAO SOUDURE,23,mpan,
MITARIKA POUSSE,23,,
MANAO SARAKAN-TSAHA,23,man,
MIVAROTRA PARAKY,23,"miv, var",
INFORMATICIEN,23,,
MPANEFY VY,22,mpan,
PASITERA,22,,
CHEF DE CHANTIER,22,,chef
MITONDRA BAJAJ,22,,
GUICHETIER,22,,
MPAMBOLY MADINIKA(VARY),22,"var, vary, mboly, mpam",
MPAHANDRO SAKAFO,22,,
MAçONS,22,,maçon
CUISINIERE,22,,
MIVAROTRA SIRA,22,"miv, var",
COIFFURE,22,,
MPAMBOLY VOMANGA,22,"man, mboly, mpam",
MIOMPY,21,,
POMPISTE,21,mpi,
MPIBATA ENTANA,21,"mpi, entana",
MPANJAITRA AKANJO,21,mpan,
MPANETY VOLO,21,mpan,
MPIVAROTRA HANIMASAKA,21,"mpi, var",
MIHADY SAPHIR,21,,
MPANDRAFITRA TRANO,21,"trano, rano, mpan",
MAMBOLY PARAKY,21,"mam, mboly",
MIOMPY SY MIVAROTRA AKOHO,21,"miv, var, akoho",
MANOEUVRE BATIMENT,21,man,
MPANASA LAMBAN'OLONA,21,"lamba, mpan",
MANAMBOATRA FASANA,21,man,
MIVAROTRA HANIMASAKA,21,"miv, var",
MPANAO MOFO,21,"mofo, mpan",
MPIVAROTRA TOAKA GASY,21,"mpi, var",
MPAMBOLY FARY,21,"mboly, mpam",
FAMBOLENA MANGAHAZO,21,"man, famb",
TAXI MOTO,21,,
MPIVAROTRA MOFO,21,"mpi, var, mofo",
MPAMPIANATRA FRAM,20,"mpi, mpam",
MIOMPY AKOHO GASY,20,akoho,
MPITONDRA POSY,20,mpi,
MIOPY OMBY,20,omby,
"FAMBOLENA TSAKO,VOATANGO",20,famb,
MANAMPY FIANAKAVIANA,20,man,
MANARATO TRONDRO,20,man,
FIOMPIANA,20,mpi,
MPAPIANATRA,20,,
MANDRARY HARONA,20,man,
ADJOINT FOKOTANY,20,tany,
fambolena,20,famb,
MPIVAROTRA CAFE,20,"mpi, var",
MAMBOLY VOATABIA,20,"mam, mboly",
MIBATA ENTANA,20,entana,
DOCTEUR,19,,
MANDRARY SOBIKA,19,man,
MPAMBOLY MADINIKA FA MANAMPY NY VADINY,19,"man, mboly, mpam",
MANAO JOURNEE,19,man,
MITRANDRAKA SY MIVAROTRA VOLAMENA,19,"miv, var",
SARAKA,19,,
MAMBOLY VARY SY BALAHAZO,19,"mam, var, vary, mboly",
MAKA RANO,19,rano,
MPANAO SARAK'ANTSAHA,19,mpan,
MAMBOATRA FIBRE LALOASY,19,mam,
MPIVARO-KENA,19,"mpi, var",
MANAMPY MAMBOLY VANILLE,19,"mam, man, mboly",
MPITOTO VARY,19,"mpi, var, vary",
MIVAROTRA AKOHO VELONA,19,"miv, var, akoho",
MPAMAFA TRANO,19,"trano, rano, mpam",
FIOMPIANA KISOA,19,mpi,
MIVAROTRA TRONDRO ENDASINA,19,"miv, var",
MIOPY AKOHO,19,akoho,
MPANAMBOATRA FIBRE FANAMBOARANA TADY,18,mpan,
MPITARIKA POUSSE,18,mpi,
MPIVAROTRA BOZAKA,18,"mpi, var",
MITATITRA RANO,18,rano,
MAMBOLY HARICOT VERT,18,"mam, mboly",
MPIVAROTRA KAFE SY MOFO,18,"mpi, var, mofo",
MIVAROTRA KIRARO,18,"miv, var",
EPI-BAR,18,,
MPAMBOLY JOROFO,18,"mboly, mpam",
GENDARMERIE,18,,
MANOSIKA VARAMBA,18,"man, var",
PREPARATEUR DE SISAL,18,,
MANOEUVRE MACON,18,man,
MAçon,17,,maçon
OMBIASA,17,,
MPANIVANA VOLAMENA,17,mpan,
MANJONO AN-DRANOMASINA,17,"man, rano",
MPAMPIDITRA HIRA,17,"mpi, mpam",
MPANAO HANIMASAKA,17,mpan,
MPANARATO TRONDRO,17,mpan,
GARDIENAGE,17,,
MIVAROTRA SACHET,17,"miv, var",
INFIRMIERE,17,,
MIVAROTRA MOFO AKONDRO,17,"miv, var, mofo",
