metier_original,occurrences,mots_malgache,mots_francais
"MANAO GRAVILLON,MOELLON,KAYAS,",3,man,
MIVAROTRA TONGOLO MANDENDEHA,3,"man, miv, var",
NIVAROTRA SAONJO,3,var,
SARAKATSAHA MIASA TANY,3,tany,
PANJAITRA AKANJO,3,,
KARAMAINA MANEFY VY,3,"man, karama",
MIVARO-KAZO,3,"miv, var",
MAMB0LY VARY,3,"mam, var, vary",
NETOYEUR,3,,
CHAUFFEUR AM PORT,3,,chauffeur
ORGANISATRICE,3,,
COPERATIVE FITATANTERANA GUICHETIER,3,,
"MICHARGE BATTERIE, TELEPHONE",3,,charge
MAMPIANATRA MATH-PHYSIQUE,3,"mpi, mam",
MANAMBOATRA SY MIVAROTRA SARISIKOTRA,3,"man, miv, var",
MPANAMBOATRA BATERIE,3,mpan,
MIVAROTRA BISCUIT GASY,3,"miv, var",
MITAONA FASIKA SY B IRIKY,3,,
GARDIEN MAISON,3,,
TRIAGE TOMATE,3,,
MANJAITRA LAMBA REHETRA,3,"man, lamba",
PLOMBIER AMIN NY JIRAMA,3,,plombier
"NAMBOLY VARY,KAROTY,ovy,VOMANGA,TSARAMASO",3,"man, var, vary, mboly",
MIVARONKENA,3,"miv, var",
MIASA @ ANGADIN'OMBY,3,omby,
MITARIKA VARAMBA,3,var,
MAMBOLY VOANJO SY KATSAKA,3,"mam, katsaka, mboly",
MPAMBOLY LOJY MENA,3,"mboly, mpam",
AGENT ADMINISTRATIF OTIV,3,,agent
MPAMPOLY ZANA-KAZO,3,mpam,
MAMBOLY ANANNA,3,"mam, mboly",
MPIVAROTRA POULET DE CHAIR EFA MATY,3,"mpi, var",
MIVAROTRA PAOMA,3,"miv, var",
MIANTOKA KISOA,3,,
MPIVAROTRA FOTSIM-BARY,3,"mpi, var",
MPANAMPY MAHANDRO AMIN'NY FIVAROTANA HANINA,3,"var, mpan",
MPAMBOLY ZANA-KAZO AO AMIN'NY EDEN PROJECT,3,"mboly, mpam",
MPAMBOLY COURGETTE,3,"mboly, mpam",
MIKARAMA MIKAPA HAZO,3,karama,
MIVAROTRA ENTAMADINIKA EPICERIE,3,"miv, var",
INSTITUTRICE @ COLLEGE,3,,
MECANICIEN VOITURE,3,,
MPANAO LAVAGE,3,mpan,
"MAMBOTRA TELE, RADIO, AMPLI...",3,mam,
MPIOMPY GANAGANA,3,mpi,
TRESORIER COMMUNAL,3,,
MANAMBOATRA PATTES,3,man,
MANAMPY MAMBOLY ANANA,3,"mam, man, mboly",
STAGE EN AUDIT ET COMPTABILITE,3,,
RESPONSABLE MANAO COURS BAC,3,man,responsable
MIKARAMA MAHANDRO SAKAFO,3,karama,
MAMPIANATRA AMINY AMBARATONGA VOALOHANY,3,"mpi, mam",
PETITE MAIN,3,,
MANABOATRA FASANA,3,man,
MITOTO VARY AMIN'NY MASININA,3,"var, vary",
MPIVAROTRA ENTANA AN-DAKOZIA MANDEHANDEHA,3,"mpi, man, var, entana",
MPITATITRA POSY,3,mpi,
MIVAROTRA ASA SIKOTRA,3,"miv, var",
MPANETRA VARY,3,"var, vary, mpan",
MPIKARAMA MPANETSA,3,"mpi, karama, mpan",
POINTEUR DANS LA SOCIETE SOMAPECHE,3,,
STAGIAIRE EN GARAGE AUTOMOBILE,3,,
MIVAROTRA TAMBAVY MANDEHA,3,"man, miv, var",
MANIHAKA FOZA ORANA,3,man,
MANERA TRANO,3,"man, trano, rano",
MECANICIEN TOMOBILE,3,,
COURSIERE,3,,
MITRANDAKA VOLAMENA,3,,
COUFFURE,3,,
FAMBOLENA VARY JEBY SY VARY TAONA (ALOHA),3,"var, famb, vary",
MAMBOLY VARY VARY SY TSARAMASO,3,"mam, var, vary, mboly",
MPIVAROTRA MOFO MANGAZO,3,"mpi, man, var, mofo",
CARRIERE,3,,
MPAMBOLY ANAMALAHO,3,"mboly, mpam",
MITONDRA POUSE POUSSE,3,,
MIPOY KISOA,3,,
MAMOKATRA TOAKA GASY,3,mam,
"NAMBOLY VARY,KATSAKA,OVY,VOMANGY",3,"man, var, vary, katsaka, mboly",
"NAMBOLY VARY,KATSAKA,VOMANGA,OVY",3,"man, var, vary, katsaka, mboly",
MANAMPY MANAO CROCHET,3,man,
MANITENTIONNAIRE,3,man,
MANAO CROCHET @ ROFIA,3,man,
MPIVAROTRA PIECE AUTO-MOTO,3,"mpi, var",
CHEF CHANTIER,3,,chef
MAMBOATRA SY MIVAROTRA TOKA,3,"mam, miv, var",
MANAMBOATRA SY MIVAROTRA ARONA(PANIER),3,"man, miv, var",
PASTEUR ADVENTISTE,3,,
MANAO SARAN-KATSAHA,3,man,
MANARATO FIAN-DRANOMASINA,3,"man, rano",
MIVAROTRA MATERIEL ELECTRONIQUE,3,"miv, var",
MANAMPY MIVAROTRA FITAOVANDAKOZIA MANDEHANDEHA,3,"man, miv, var",
MANBOLY VARY KATSAKA MANIOC HARICOT,3,"man, var, vary, katsaka",
MABOLY VOMANGA,3,man,
"MAMBOLY VARY, MANGAHAZO,TAMATESY",3,"mam, man, var, vary, mboly",
MITONDRA CAMION MITATITRA ENTRANA,3,,
MPANAO SAOABA SADY MIVAROTRA,3,"miv, var, mpan",
MPANAMBOATRA FITAOVANA ELECTRONIQUE SIMBA,3,mpan,
MPIVAROTRA KIRARO FRIPERIE,3,"mpi, var",
MPIKARAMA MAMBOLY,3,"mpi, mam, mboly, karama",
SARAKATSAHA MITAONA VARY,3,"var, vary",
MANANGONA RAVINA JIROFO MAINA,3,man,
MIVAROTRA RAPAKA,3,"miv, var",
MIATOKA FRIPY,3,,
MPISA MPANJAKANA TOPOGRAPHE,3,"mpi, mpan",
MPINDRANDRAKA VATO,3,mpi,
AIDE DE MÉNAGE ET NETTOYEUSE DOMESTIQUE / LA BONNE,3,,
TRANSPORTEUR DE PASSAGERS,3,,
MPIARAK'ANDRO OMBY SY OSY,3,"mpi, omby",
MPIVAROTRA ANANAS,3,"mpi, var",
MANAMPY AN-TRANO,3,"man, trano, rano",
VENDEUR DES PIECES AUTO,3,,vendeur
MAMBOLY MANGAHAZO VOANJO VOANEMBA TSAKO,3,"mam, man, mboly",
MAMBOLY KATSAKA MANGAHAZO VOANJO VOANEMBA,3,"mam, man, katsaka, mboly",
MPAMPIANATRA PRIMAIRE ECOLE LIBRE,3,"mpi, mpam",
CHAUFFEUR BAJAJA,3,,chauffeur
FEMME DE MENANGE,3,,
FEMME DE MENANGER,3,,
MANAMBOATRA GARABA,3,man,
SARAKATSAHA MIVELY VARY,3,"miv, var, vary",
SARAKANTSAHA MIVELY VARY,3,"miv, var, vary",
MITOTO VARY AMIN'ny MACHINE,3,"var, vary",
COLLECTEUR CACAO,3,,
MAMPIANATRA CLASSE DE 9e,3,"mpi, mam",
SECRETAIRE CIM,3,,secretaire
CORDONATEUR REGIONAL,3,,
"MIVAROTRA,MANAMBOTRA SAKAFO MASAKA",3,"man, miv, var",
DEMARCHEUR DU TERRAIN,3,,
MPANONDRAKA ANANA,3,mpan,
MPAMPIVELONAIVELONA,3,"mpi, mpam",
SARAKATSAHY SY MAMBOLY,3,"mam, mboly",
MIKAPA VARY,3,"var, vary",
SARAKANTSAHA MAMBOLY PARAKY,3,"mam, mboly",
MISAKA TRONDRO,3,,
MIVAROTRA  YAOURTS SY JUS,3,"miv, var",
CHEF DE PROJET @ PNUD TANA,3,,chef
AGENT PENITENTIER,3,,agent
ASSISTANTE ADMINISTRATIF DE DISTRICT,3,,assistant
COLLETEUR ET VENDEUR DES MANIOC SEC,3,man,vendeur
VOLY LAISOA,3,voly,
MITONDRA TAXI-BROUSSE,3,,
MANAO TAPIS,3,man,
MPAMPIANATRA AMINY ECOLE PRIVE PRIMAIRE,3,"mpi, mpam",
MAMBOLY MANGAHZO VOANJO VOANEMBA KATSAKA,3,"mam, man, katsaka, mboly",
"MAMBOLY ANANA SY COCOMBRE, VARY, KAZAHA",3,"mam, var, vary, mboly",
PROVISEUR D'ECOLE,3,,
MITRANTRAKA VOLAMENA,3,,
MITRATRANGA VOLAMENA,3,,
DESSINATEUR METREUR EN BATIMENT,3,,
MAMONO LA VANILLE (EMBALLER DE LA VANILLE),3,mam,
SECURITE WWF,3,,
ENTREPRENEUR EN CONSTRUCTION DES BATIMENTS,3,,
MPIARAK'ANDRO OMBY,3,"mpi, omby",
MPIKARAMA TSELIKA,3,"mpi, karama",
MAMPIANATRA T1,3,"mpi, mam",
MAMPIANATRA T5,3,"mpi, mam",
MIANDRY VOLY N'OLONA,3,voly,
MPAMPIANATRA AMINY LYCEE PUBLIQUE,3,"mpi, mpam",
MIAMBINA LAVANILA,3,,
CONTROLEUR SECURITE,3,,
MPIVAROTRA PATSA,3,"mpi, var",
AGENT DE CREDIT ACEP,3,,agent
MPITATITRA OLONA @LAKANA,3,mpi,
TECHNICIEN PISCINIER,3,,technicien
JARDINIER (MANALA BOZAKA SY MIKARAKARA VONINKAZO),3,man,
MANAMBOTRA MOFO ANANA SY PATY,3,"man, mofo",
AGEANT CONNECTO,3,,
OPERATEURE DE SAISIE,3,,
CHIMISTES,3,,
TELE OPERATRICE,3,,
GESTIONNAIRE MARCHE PUBLIC LAPAN TANANANA ANALAKEL,3,,
OPERATEUR DE SAISI,3,,
CHAUFFEUR TAXI BROUSSE FA ANJAMA KELY,3,,chauffeur
CHAUFFEUR TAXI BROUSSE TANA TAMATAVE TANA MAJUNGA,3,,chauffeur
"MPAMBOLY VARY,KATSAKA,MANGAHAZO,VOANJY",3,"man, var, vary, katsaka, mboly, mpam",
"MIVAROTRA LEGUMES (COCOMBRE, ANANA, RAVIKAJAHA)",3,"miv, var",
MPIASA NY RADIO RNA SAVA,3,mpi,
MANAMBOATRA FANAKA (MPANDRAFITRA),3,"man, mpan",
MIOMPY SY MIAVROTRA OMBY,3,omby,
MPAMBOLY TSAKO SY MAHOGO,3,"mboly, mpam",
MANAO REPARATION RADIO TELE TELEPHONE,3,man,
MIKARAMA MIKAPOKA VATO,3,karama,
MPANADIO ESPACE,3,mpan,
MITARIKA SARETY N'OMBY,3,omby,
MAINTENACE AU HOPITAL PRIVE VAOVAO MAHAFALY,3,,
MIVAROTRA MOFO ANANA SY COMPOSE,3,"miv, var, mofo",
RENIN-JAZA,3,,
MANCON,3,man,
MAMBOLY VARY ANATY RAN0,3,"mam, var, vary, mboly",
MPITARIKA POSIPOSY,3,mpi,
MANARA-MASO NY FAMPIASANA NY VOLA NINDRAMINA,3,"mpi, man",
MPIVAROTRA EN EPICERIE,3,"mpi, var",
MPITALY ROFIA AMIN'NY SINOA,3,mpi,
MPIASA ATRANONOLONA (DOMESTIQUE),3,"mpi, trano, rano",
MANAMPY NY VADINY MIVAROTRA LEGUME,3,"man, miv, var",
MPANJAITRA DRAP,3,mpan,
MIVAROTRA VARY'VAOMAINA,3,"miv, var, vary",
CHAFEUR,3,,
MIVAROTRA VARY SY YAOURT,3,"miv, var, vary",
MPIVARO-TENA,3,"mpi, var",
MPANAO BIRIKY,3,mpan,
"Mivarotra trondro maina,patsa,makamba,voamain",3,"miv, var",
CONSEILLEE CLIENTELE,3,,
MIVAROTRA ENTA-MADINIKA SY ZAVA-PISOTRO,3,"miv, var",
MIKAPA FARY,3,,
MIKARAMA MITATITRA BIRIKY,3,karama,
CONDUCTEUR REGIONAL ENGIN,3,,
DEMARCHEUR SUR PRODUIT DE RENTE( vanille),3,,
MPANAMPY TOKATRANO @ FAMBOLENA VARY,3,"var, famb, vary, trano, rano, mpan",
MPITAONA TANY,3,"mpi, tany",
MIKARAKARA SOAVALY,3,,
POLICE COMINALE,3,,
VOLY VANILLE,3,voly,
MPAMBOATRA TOAKA,3,mpam,
FANJAIRANA AKANJO,3,,
"MIVAROTRA MOFO,JUS NATURELLE",3,"miv, var, mofo",
SECURITE ANY BANQUE,3,,
MPIVAROTRA CREIDT,3,"mpi, var",
KATEKISITA,3,,
MITRANDRZKZ VOLAMENA,3,,
DOCKER ANY AMIN'NY SAMBO,3,,
MPITONDRA BAJAJ MPISOLO-TOERANA,3,mpi,
MPIVAROTRA LASARY MANGA,3,"mpi, man, var",
JARDINIER UNIVERSITE DE MAHAJANGA,3,,
MPIKARAMA MITONDRA SARETY,3,"mpi, karama",
DOMESTIQUE AMIN'ITY TOKATRANO ITY,3,"trano, rano",
DISTRUBITEUR DES PPN AMIN'NY EPICERIE,3,,
RESPONSABLE RESEAUX DETAILLANT AMIN'NY STAR,3,,responsable
MAMBOLY SY MIVAROTRA JIROFO,3,"mam, miv, var, mboly",
MPANDIDY LAMBA,3,"lamba, mpan",
MPANAMBOATRA TRANO (MACON),3,"trano, rano, mpan",
MULTI SERVICE,3,,
RESPONSABLE CENTRALE ELECTRIQUE,3,,responsable
SOUDIRE,3,,
MPIVAROTRA HENAN'OMBY,3,"mpi, var, omby",
MIVAROTRA LEGIOMA,3,"miv, var",
MAKA SY MIAVROTRA TALAPETRAKA,3,,
MPAMBOLY MADINIKA( KATSAKA),3,"katsaka, mboly, mpam",
MANAMBOATRA COMPOSE SY LASOPY,3,man,
MPIVAROTRA PUCE ORANGE,3,"mpi, var",
IRAKELY ANANA,3,,
"MPAMBOLY KATSKA, KABARO",3,"mboly, mpam",
MIHAVA TANIMBOLY,3,mboly,
MPIVAROTRA KAFE MANDEHANDEHA,3,"mpi, man, var",
MIVAROTRA MPIRINA MAINA,3,"mpi, miv, var",
MPAMPIANATSY EPP,3,"mpi, mpam",
MITSABO BIBY FIOMPY,3,,
MASSAGE,3,,
MIANTOKA CHARBON MANDEHANDE,3,man,
MPANA0 SARAKA ANTSAHA,3,mpan,
AGENT COMPTABLE CHAMBRE DE COMMERCE,3,,"agent, comptable"
MIKARAKARA CACAO,3,,
MPIKARAMA FAMBOLENA,3,"mpi, famb, karama",
MPANAMBOATRA MOFO MANGAHAZO,3,"man, mofo, mpan",
GARDIEN EPP,3,,
MAMBOLY VARY ANTANETY,3,"mam, var, vary, mboly",
NIVAROTRA FRIPERIE,3,var,
CHAUFFEUR KINGA,3,,chauffeur
MIVAROTRA MENAKE BEAUTE,3,"miv, var",
"MIVAROTRA T-SHIRT,SHORT,PATALON",3,"miv, var",
MIVAROTRA APPAREIL ELECTROMENAGERE AMIN'NY KARANA,3,"miv, var",
MAKARANO,3,rano,
Mamboly vary sy tongolo be,3,"mam, var, vary, mboly",
"MAMBOLY VARY, FARY",3,"mam, var, vary, mboly",
PRESIDENT FKT,3,,
AGENT DE RECOUVREMENT,3,,agent
HYDROGEOLOGUE,3,,
PASSASSION DE MARCHE,3,,
JOURNIER SARAKATSAHA,3,,
MANJONO ANDRANOMAMY DIA MIVAROTRA,3,"mam, man, miv, var, rano",
FIVAROTANA ANANA,3,var,
FAMBOLENA ANANANA,3,famb,
MPIVAROTRA RAKETA RAVINY,3,"mpi, var",
OUVRIER D'ENTREPRISE de TRANSFORMATION DE VANILLE,3,,ouvrier
CCHEF ADMINSTRATION,3,,chef
"MANAO CROCHET: SOUS VASE,LAMBATSEZA,LAMBAPANDRINA,",3,"man, lamba",
MPITANDRAKA VOLAMENA,3,mpi,
MANANAMPY MITRANDRAKA VOLAMENA,3,man,
MANAMPY MITRANDRAKA VOALMENA,3,man,
TELECONSEILLER,3,,conseiller
MPIVAROTRA FIA MAINA,3,"mpi, var",
CONTROLEUR QUALITE ZONE FRANCHE,3,,
MAROQUINNIERE,3,,
MAMPIANATRA @CEG,3,"mpi, mam",
MIVAROTRA TRONDRO ENY ANTSENA,3,"miv, var",
MANADIO FIANGONANA,3,man,
MPIAVAROTRA TSAKO LENA,3,"mpi, var",
MAMPIOFANA MOMBA NY FAMBOLENA SY FIOMPIANA,3,"mpi, mam, famb",
SARATSAHA,3,,
COLLECTEUR DU CRABE AU NIVEAU DES PECHEURS,3,,
MPIVARO-MANDEHA (TONGOLO),3,"mpi, man, var",
"MAMBOLY TSAKO,BELE,BALAHAZO,VOANJO",3,"mam, mboly",
"MAMBOLY KAPIKY , KATSAKA,BEBE,BALAHAZO",3,"mam, katsaka, mboly",
"MAMBOLY TSAKO,BELE,BALAHAZ0",3,"mam, mboly",
TOURNEUR FREISEUR,3,,
MANOSIKA SARETY KELY,3,man,
MANAO MOFO,3,"man, mofo",
MINJAITRA HARONA,3,,
MPAMPIANATRA AMIN'NY TECHNIQUE,3,"mpi, mpam",
MUSICIEN,3,,
MIOPMPY KISOA,3,,
SECRETAIRE PEDAGOGIQUE,3,,secretaire
MANDRAFITRA FANAKA EN BOIS,3,man,
MPAGNAMBOATRA PARPAIN,3,,
MANAMPY MANAO MOFO RAVINA,3,"man, mofo",
MPANAO KOBA RAVINA,3,mpan,
MIKOROROKA VARY,3,"var, vary",
MPAMPIANATRA AMBARATONGA FAHAROA SY FAHATELO,3,"mpi, mpam",
MPANDEFA TRONDRO,3,mpan,
MIVAROTRA RANONJEZIKA,3,"miv, var, rano",
AGENT CAUMMUNAUTAIRE,3,,agent
MIOPY OMBIVAVY BERONONO,3,,
MPIKARAKARA FAMBOLENA,3,"mpi, famb",
COURSIER FITAOVANA ELECTRONIQUE,3,,
MPAMBOLY KATSAKA SY VARY,3,"var, vary, katsaka, mboly, mpam",
MPANAMBOATRA BICYCLETTE SIMBA ENY AMORON - DALANA,3,mpan,
MPANENTANA ARA MPAMBOLENA SY FIOMPIANA,3,"mpi, entana, mpan, mpam",
MITONDRA TAXI BROUSSE,3,,
"MAMBOLY VARY,LOJY",3,"mam, var, vary, mboly",
MAKA TRONDRO,3,,
MANADIO TRANO KISOA,3,"man, trano, rano",
MPIVAROTRA YAOURT SY CLARINETTE,3,"mpi, var",
MPIVAROTRA TREMBO,3,"mpi, var",
DEMARCHEUR VANILLE GIROFLE,3,,
KARAMAINA MANAO SOUDURE,3,"man, karama",
MANAMPY NY DOKOTERA,3,man,
ARTISANS ET OUVRIER DES METIERS DE TYPE ARTISANAL,3,,ouvrier
MPANAMBOATRA BIRIKY,3,mpan,
RESPONSABLE CAISSIERE,3,,responsable
MPANAMBOATRA TELEPHONE,3,mpan,
MECANICIEN TOMOBILE AMINA GARAGE,3,,
DOKERA MITONDRA VARY KATSAKA,3,"var, vary, katsaka",
CHAUFFEUR NATIONAL TAXI BROUSSE,3,,chauffeur
MAMBOLY VARY SY POIVRE,3,"mam, var, vary, mboly",
MPAMBOLY LOJY-VOANJO-ATSANJY,3,"mboly, mpam",
MPAMBOLY VOANJO-LOJY-ATSANJY,3,"mboly, mpam",
MIVAROTRA SAHAFA,3,"miv, var",
MPAMBOLY MANGAHAZO/TSRAMASO,3,"man, mboly, mpam",
GESTIONNAIRE DE COMPTE CHEZ BNI,3,,
MANAMBOATRA ONDANA,3,man,
JOCKER,3,,
MPIASA NY JIRAMA,3,mpi,
FEMME DE MENAGE AU CDS,3,,
MIKARAMA MIVAROTRA HANIMASAKA MANDEHA,3,"man, miv, var, karama",
CUISINIER AMIN'NA GARGOTE,3,,
MAMBOLY VARY MANAMPY NY FIANAKAVIANA,3,"mam, man, var, vary, mboly",
MPIVAROTRA MOKARY SY GODROGODRO,3,"mpi, var",
FORMATRICE CRINFP AMBOSITRA,3,,
FORMATEUR AGRICULTURE CFPF TSIMIALONA,3,,
NITAONA ENTANA,3,entana,
MIVAROTRA ENTA-MADINIKA ENY AN-TSENA,3,"miv, var",
RESPONSABLE D AGENCE,3,,responsable
MPIVAROTRA PLANTE MEDICINALE,3,"mpi, var",
MPANJAITRA LAMBA SUR COMMANDE,3,"man, lamba, mpan",
MIVAROTRA  FRIPERIE,3,"miv, var",
MAMBOLY ANANA SY TONGOLO,3,"mam, mboly",
HOMME D'ENTRETIEN,3,,
AGENT PENITENCIERE,3,,agent
PENITENCIER,3,,
MIVAROTRA ENTANA AMBONGADINY,3,"miv, var, entana",
GROSSISTE,3,,
MAMBOLY MANAO SARI-KATSAHA,3,"mam, man, mboly",
PANDEFA ENTANA,3,entana,
SECRETAIRE AU REGISSEUR DE RECETTE,3,,secretaire
FANAOVANA SARAKATSAHA,3,,
DOCTEUR DANS LA SANTE PUBLIQUE,3,,
MANAO CORNER (GLACE),3,man,
FAMBOLENA TSAKO SY BALAHAZO,3,famb,
MPIVAROTRA ONDANA,3,"mpi, var",
MAKA TRONDRO ANDRANOMAMY,3,"mam, rano",
MITAONA ENTANA @ SARETY,3,entana,
IRAKIRAKA MANATITRA TARATASY,3,man,
BOULANGE,3,,
PANJONA,3,,
MAINTENANCE AO AMIN'NY AQUALMA,3,,
CONTROLEUR DE QUALITE DE CREVETTE DE L'AQUALMA,3,,
MPIVAROTRA MAKAMBA,3,"mpi, var",
MPADRAFITRA,3,,
MPANAMBOATRA TRANO FIANARANA,3,"trano, rano, mpan",
CHAUFFEUR AN OLONTSOTRA,3,,chauffeur
SARAKTSAHA,3,,
MPANAMBOTRA FRIGIDAIRE MATY,3,mpan,
MPAMPIANATRA PRIMAIRE ECOLE PRIVE,3,"mpi, mpam",
MAMBOLY VARY LOJY MANGAHAZO,3,"mam, man, var, vary, mboly",
CHEF DE DEPARTEMENT,3,,chef
MIANTOKA OVY,3,,
MIANTOKA LEGUME,3,,
GARDIEN CONCESSION,3,,
CAMIONNAIRE TANA-TAMATAVE,3,,
MITSABO CACAO,3,,
MPANDRARY TSIHY VITA AM SATRANA,3,mpan,
"Mamboly vary,manioc,fary,patate douce,banane",3,"mam, man, var, vary, mboly",
"Mamboly vary,Anambe,Anamalaho",3,"mam, var, vary, mboly",
"Mamboly vary,anambe,anamalaho",3,"mam, var, vary, mboly",
SERVICE CLIENTEL,3,,
MITONDRA BOTRY,3,,
JARDINIER AMIN NY OLON TSOTRA,3,,
"Mamboly vary,Manioc,Fary,Patate douce,Banane",3,"mam, man, var, vary, mboly",
MPANDRARY SY MIVAROTRA TSIHY,3,"miv, var, mpan",
MIVAROTRTA VARY FOTSY AMY KAPOAKA,3,"miv, var, vary",
"Mamboly vary,banane,igname",2,"mam, var, vary, mboly",
MACHINISTE FANAOVANA ANKAJO,2,,
"Mamboly vary,Banane,igname",2,"mam, var, vary, mboly",
AGENT,2,,agent
MPITOTO VARY AMIN'NY DECORTIQUEUR,2,"mpi, var, vary",
"MPAMPOBY VARY, CONCOMBRE, VOATAVO",2,"var, vary, mpam",
MIVAROTRA HAZANDRANO,2,"miv, var, rano",
MISSIONNAIRE,2,,
MPANAO TOAKA,2,mpan,
CODUCTRICE,2,,
MPANAO VOLO,2,mpan,
MPIAMBITANANA AN OLONTSOTRA,2,mpi,
CONTROLEYR FINANCIERE AU DISTRIBUTEUR PPN,2,,
MPAMPIANATRA AMINYCEG TSARAROVA,2,"mpi, mpam",
INFIRMIER AO AMINY CSB TSARAROVA,2,,
Agent D¨appuit @Pharmacie,2,,agent
MIAMBINA POMPE,2,,
COUTIRIERE,2,,
MPAMBOLY VARY SY LOJY,2,"var, vary, mboly, mpam",
MITANTANA CYBER,2,,
MIVAROTRA FINDAY,2,"miv, var",
CHARPENTIER METALLIQUE,2,,
NIKARAKARA VOATABIA,2,,
MPANAO KIBAROA SOUDURE / SOUDEUR,2,mpan,
MPAMBOLY HARICOT VERT SY COURGETTE,2,"mboly, mpam",
MANOEUVRE MANAMPY MACON,2,man,
MPIOMPY AKOHO MANATODY LAVA,2,"mpi, man, akoho",
MIVAROTRA HOTELY,2,"miv, var",
MPANDANJA VARY HO ENTIN'NY CAMION,2,"var, vary, mpan",
PLONGEUR (CONCOMBRE DE MER),2,,
MPAMBOLY VANILLE CACAO AKONDRO KAFE,2,"mboly, mpam",
MPANAO MOFOGASY,2,"mofo, mpan",
MPAPIANATRA SECONDAIRE,2,,
MANAMBOATRA GATEAU KAIKE,2,man,
MPANAMBOATRA TELEPHONE SIMBA,2,mpan,
MPANAO TRIAGEN'NY MASALA (EPICES) AMIN'NY KARANA,2,mpan,
SURVELLANTE AO ECOLE CATHOLIQUE,2,,
MAMOKATRA FITAFIANA,2,mam,
SECRETAIRE AMIN HOPITALY,2,,secretaire
MPANADIO HOPITALY,2,mpan,
MANAMPY MIVAROTRA ARTICLES MENAGERS,2,"man, miv, var",
MPANKASARY,2,mpan,
MPINDRADRAKA,2,mpi,
MAGASINNAIRE,2,,
KIBAROA MANDRAFITRA,2,man,
MPITRANDRAKA SAFIRA,2,mpi,
MANADIO VARY,2,"man, var, vary",
MPANAMPY MPIANDRY OMBY,2,"mpi, omby, mpan",
MPAMBOLY LOJY SYV ANTSANJY,2,"mboly, mpam",
MPIKARAMAN'OLONA,2,"mpi, man, karama",
MANJONO TRONDRO NDRANOMAMY,2,"mam, man, rano",
MPANAO JUS SY YAOURT,2,mpan,
MPIVAROTRA ENTA-MAJINIKA,2,"mpi, var",
MIVAROTRA SEZA RAFIA,2,"miv, var",
MINDROAGNA TANI-BARY,2,,
MPAMPIANATRA PRIVEE,2,"mpi, mpam",
MAMKY VATO (MALON),2,mam,
MAMAKY VATO (GRAVILLON),2,mam,
CONSEIL EDUCATION,2,,
MIVAROTRA KIRARO EN DETAIL,2,"miv, var",
MANAMBOTRA COMPOSE SY LASOPY,2,man,
MIVAROTRA PRODUITS LAITIER FROMAGE YAOURT DOBERA C,2,"miv, var",
MIVAROTRA PRODUIT LAITIER,2,"miv, var",
MIVAROYTA VILIA,2,"miv, var",
MANAO PATY GASY,2,man,
GARGOTTIER,2,,
MIVAROTRA MOFO GASY SY DITE,2,"miv, var, mofo",
"MPAMBOLY VANILLE SY JIROFO, MPIOMPY OMBY",2,"mpi, omby, mboly, mpam",
DIRECTEUR DE L'ASSAINISSEMENT,2,,directeur
Mamboly vary sy Fary,2,"mam, var, vary, mboly",
Mamboly Vary sy Fary,2,"mam, var, vary, mboly",
MIVAROTRA ARTICLE MENAGERS,2,"miv, var",
DOCKER ET AIDE CHAUFFEUR,2,,chauffeur
MPIVAROKENA MANDEHA MITETY,2,"mpi, man, var",
NITSIPONA KARETSIKA,2,,
NITSIPONA TSAKAFOKA,2,,
RESPONSABLE AO AMIN MACHINE FITOTOAMBARY,2,,responsable
MITSIMPONA PRODUITS LOCAUX,2,,
"MPANAMPY FAMBOLEMBARY,OVY,KATSAKA,MANGAHAZO",2,"man, famb, katsaka, mpan",
"MAMBOLY VARY,KATSAKA,OVY",2,"mam, var, vary, katsaka, mboly",
MITETIKA FARY,2,,
MITOTOVARY AMINY MACHIN,2,"var, vary",
MANAMPY MITRANADRAKA VOLAMENA,2,man,
TECHNICIEN EN VOIRIE ET ASSAINISSEMENT,2,,technicien
FEMME DE MENAGE CHEZ UN MENAGE PRIVE,2,,
PROFESSEUR CERTIFIEE ENS,2,,
DISTRIBUTEUR TELMA,2,,
MANOEUVRES,2,man,
MANAO TAFO TUILE,2,man,
TRICOTEUSSE,2,,
MANJAITRA AKANJO BA,2,man,
MANJAITRA LOBAKA,2,man,
MANAMBOATRA MOKARY GASY,2,man,
GARDIEN FIANGONANA JESOSY MAMONJY,2,mam,
MIVAROTRA GATEAU SY CLARINETTE,2,"miv, var",
"MANOEUVRE, MACONNIERE",2,man,
MANEFY,2,man,
MIVAROTRA PRODUITS DE BEAUTE,2,"miv, var",
JOURNIE,2,,
NITAONA VARY,2,"var, vary",
MIVAROTRA TRAKA RAVIMBORONDRA RAVITSAONJO,2,"miv, var",
MIVAROTRA AKOHO SY VOANKAZO,2,"miv, var, akoho",
MANJONO ANDRANOMAMY DIA VAROTANA,2,"mam, man, var, rano",
CHAUFFEUR AMINY MAGASIM MPIVAROTRA ELECTROMENAGER,2,"mpi, var",chauffeur
MANOEUVRE @CONSTRUCTION BATIMENT,2,man,
MPAMILY BAJAJ AN-TANAN-DEHIBE,2,mpam,
MPAMBOLY MADINIKA(KATSAKA),2,"katsaka, mboly, mpam",
MPAMBOLY MADINIKA (KATSAKA),2,"katsaka, mboly, mpam",
MIKARAMA MIAVA VARY SARCLEUSE,2,"var, vary, karama",
