code_q4a_19,frequence
5149.0,84
5161.0,1
5162.0,22
5163.0,14
5169.0,129
5210.0,11
5211.0,2
5212.0,1
5220.0,752
5222.0,6
5223.0,1
5229.0,1
5230.0,1736
5231.0,2
5233.0,4
5234.0,1
5239.0,1
5249.0,1
5320.0,1
5321.0,1
5330.0,1
5741.0,1
6011.0,2
6012.0,1
6110.0,26
6111.0,1005
6112.0,162
6113.0,27
6114.0,100
6120.0,9
6121.0,279
6122.0,14
6124.0,52
6129.0,82
6130.0,72
6131.0,1
6141.0,45
6142.0,137
6151.0,24
6152.0,262
6153.0,144
6154.0,25
6162.0,3
6210.0,3922
6211.0,68
6212.0,6
6219.0,2
6220.0,1
6221.0,2
6224.0,1
6230.0,2
6242.0,1
6253.0,1
6310.0,1
6419.0,1
7013.0,4
7100.0,1
7111.0,805
7112.0,1
7113.0,95
7121.0,8
7122.0,437
7123.0,11
7124.0,29
7128.0,17
7129.0,2
7130.0,2
7131.0,1
7132.0,7
7133.0,1
7135.0,1
7136.0,10
7137.0,12
7139.0,1
7141.0,17
7142.0,2
7143.0,1
7211.0,25
7212.0,55
7213.0,2
7214.0,11
7221.0,37
7222.0,3
7223.0,1
7224.0,2
7231.0,114
7232.0,5
7233.0,2
7234.0,21
7241.0,19
7242.0,7
7243.0,26
7244.0,12
7245.0,5
7311.0,15
7312.0,2
7313.0,7
7324.0,1
7331.0,40
7332.0,17
7343.0,10
7344.0,1
7345.0,1
7346.0,5
7410.0,10
7411.0,133
7412.0,371
7413.0,31
7414.0,39
7415.0,118
7416.0,5
7417.0,1
7420.0,3
7421.0,77
7422.0,67
7423.0,1
7424.0,282
7431.0,67
7432.0,72
7433.0,182
7434.0,3
7435.0,12
7436.0,18
7437.0,31
7441.0,6
7442.0,32
7444.0,1
7446.0,1
7447.0,1
7515.0,1
7740.0,1
8032.0,1
8041.0,1
8112.0,1
8113.0,1
8124.0,1
8141.0,4
8142.0,1
8159.0,1
8161.0,4
8163.0,2
8211.0,1
8229.0,2
8231.0,1
8232.0,4
8240.0,5
8259.0,1
8261.0,33
8262.0,16
8263.0,4
8264.0,1
8265.0,2
8269.0,52
8270.0,1
8272.0,1
8273.0,19
8274.0,8
8275.0,2
8277.0,1
8281.0,3
8282.0,1
8283.0,1
8284.0,2
8285.0,1
8286.0,6
8290.0,7
8311.0,9
8321.0,137
8322.0,240
8323.0,55
8324.0,59
8329.0,1
8331.0,4
8332.0,5
8333.0,7
8334.0,6
8340.0,8
8342.0,1
8513.0,1
9110.0,2
9111.0,154
9112.0,237
9113.0,57
9114.0,67
9115.0,192
9119.0,1
9120.0,15
9121.0,2
9123.0,1
9124.0,1
9131.0,754
9132.0,72
9133.0,489
9141.0,12
9142.0,14
9150.0,1
9151.0,147
9152.0,353
9153.0,3
9154.0,47
9161.0,20
9162.0,26
9163.0,44
9210.0,21
9211.0,3918
9212.0,26
9213.0,108
9214.0,1
9220.0,2
9221.0,8
9222.0,1
9231.0,2
9310.0,1
9311.0,108
9312.0,35
9313.0,223
9321.0,15
9322.0,49
9331.0,216
9332.0,44
9333.0,269
9340.0,1
9421.0,1
9511.0,2
9524.0,1
9601.0,2
9700.0,1
