Colonne;Type;Non-Null;% Présent;Unique;Min;Max;Moyenne;Exemples
q4a_71;float64;782;1.2;18;0.0;24.0;6.75;[5.0, 6.0, 8.0]
q4a_70;float64;782;1.2;7;1.0;7.0;5.19;[5.0, 6.0, 6.0]
q4a_48a;str;719;1.1;82;-;-;-;['200.0', '50.0', '5.0']
q4a_50b;str;774;1.1;4;-;-;-;['An', 'Mois', 'An']
q4a_48b;str;680;1.0;4;-;-;-;['Mois', 'Mois', 'Semaine']
q4a_68b;str;336;0.5;4;-;-;-;['Jour', 'Jour', 'Jour']
q4a_68a;str;337;0.5;23;-;-;-;['1.0', '1.0', '1.0']
q4a_80;str;143;0.2;22;-;-;-;['14.0', '5.0', '20.0']
q4a_05;str;121;0.2;12;-;-;-;['Mauvaises conditions climatiques, catastrophes n...
q4a_81;str;142;0.2;2;-;-;-;['Oui', 'Oui', 'Non']
q4a_07;str;37;0.1;3;-;-;-;['Oui', 'Oui', 'Non']
q4a_99;str;98;0.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_12;str;31;0.0;4;-;-;-;['Principalement vendus', 'Principalement vendus',...
q4a_08;str;8;0.0;2;-;-;-;['Non', 'Non', 'Non']
q4a_14;float64;0;0.0;0;-;-;-;[]
q4a_66a;float64;11;0.0;10;3.0;10000.0;1391.64;[5.0, 5000.0, 10.0]
q4a_64b;str;12;0.0;3;-;-;-;['Mois', 'Semaine', 'Semaine']
q4a_06;str;20;0.0;2;-;-;-;['Oui', 'Oui', 'Oui']
q4a_82;float64;30;0.0;17;1.0;40.0;11.77;[15.0, 40.0, 3.0]
q4a_64a;float64;12;0.0;8;3.0;10000.0;865.67;[15.0, 3.0, 10000.0]
q4a_66b;str;11;0.0;3;-;-;-;['Semaine', 'Semaine', 'Semaine']
