idHH_clean,salaire_mensuel,hhmilieu2,hhreg,q4a_02,score_individuel_epm
000000001105,0.0,1,11,Non,7.666666666666666
000000001105,0.0,1,11,Non,8.5
000000001106,0.0,1,11,Non,6.833333333333333
000000001106,0.0,1,11,Non,7.666666666666666
000000001106,0.0,1,11,Non,8.5
000000001107,0.0,1,11,Oui,6.0
000000001107,0.0,1,11,Non,6.833333333333333
000000001108,0.0,1,11,Non,7.666666666666666
000000001108,0.0,1,11,Non,8.5
000000001109,0.0,1,11,Non,6.833333333333333
000000001109,0.0,1,11,Non,7.666666666666666
000000001109,0.0,1,11,Non,8.5
000000001109,0.0,1,11,Non,9.333333333333332
000000001110,0.0,1,11,Non,7.666666666666666
000000001110,0.0,1,11,Non,8.5
000000001111,0.0,1,11,Oui,6.0
000000001111,0.0,1,11,Non,6.833333333333333
000000001111,0.0,1,11,Oui,7.666666666666666
000000001111,0.0,1,11,Non,8.5
000000001201,0.0,2,61,Non,21.0
000000001201,0.0,2,61,Non,21.833333333333332
000000001201,0.0,2,61,Oui,22.666666666666664
000000001201,0.0,2,61,Non,23.5
000000001202,0.0,2,61,Oui,21.0
000000001202,0.0,2,61,Non,21.833333333333332
000000001202,0.0,2,61,Non,22.666666666666664
000000001203,0.0,2,61,Oui,21.0
000000001204,0.0,2,61,Non,21.0
000000001204,0.0,2,61,Non,22.666666666666664
000000001204,0.0,2,61,Non,23.5
000000001206,0.0,2,61,Oui,21.0
000000001206,0.0,2,61,Non,21.833333333333332
000000001206,0.0,2,61,Non,22.666666666666664
000000001206,0.0,2,61,Non,23.5
000000001207,0.0,2,61,Oui,21.0
000000001207,0.0,2,61,Oui,21.833333333333332
000000001208,0.0,2,61,Oui,21.0
000000001208,0.0,2,61,Oui,21.833333333333332
000000001209,0.0,2,61,Oui,21.0
000000001209,0.0,2,61,Non,21.833333333333332
000000001209,0.0,2,61,Non,22.666666666666664
000000001209,0.0,2,61,Non,23.5
000000001210,0.0,2,61,Non,21.833333333333332
000000001211,0.0,2,61,Non,21.0
000000001211,0.0,2,61,Non,21.833333333333332
000000001211,0.0,2,61,Non,23.5
000000001212,0.0,2,61,Oui,21.0
000000001212,0.0,2,61,Non,21.833333333333332
000000001301,0.0,2,21,Non,21.0
000000001301,0.0,2,21,Non,23.5
000000001302,0.0,2,21,Non,21.833333333333332
000000001303,0.0,2,21,Non,22.666666666666664
000000001303,0.0,2,21,Non,23.5
000000001303,0.0,2,21,Non,24.333333333333332
000000001304,0.0,2,21,Oui,21.0
000000001304,0.0,2,21,Non,21.833333333333332
000000001304,0.0,2,21,Non,22.666666666666664
000000001304,0.0,2,21,Oui,24.333333333333332
000000001305,0.0,2,21,Oui,21.833333333333332
000000001305,0.0,2,21,Oui,22.666666666666664
000000001305,0.0,2,21,Non,23.5
000000001305,0.0,2,21,Non,24.333333333333332
000000001305,0.0,2,21,Non,25.166666666666664
000000001305,0.0,2,21,Non,26.0
000000001306,0.0,2,21,Oui,21.0
000000001306,0.0,2,21,Non,21.833333333333332
000000001306,0.0,2,21,Non,22.666666666666664
000000001306,0.0,2,21,Non,23.5
000000001306,0.0,2,21,Non,24.333333333333332
000000001307,0.0,2,21,Oui,21.0
000000001307,0.0,2,21,Oui,21.833333333333332
000000001307,0.0,2,21,Non,23.5
000000001308,0.0,2,21,Non,21.0
000000001308,0.0,2,21,Oui,21.833333333333332
000000001308,0.0,2,21,Non,23.5
000000001308,0.0,2,21,Non,24.333333333333332
000000001308,0.0,2,21,Non,25.166666666666664
000000001308,0.0,2,21,Oui,26.0
000000001309,0.0,2,21,Oui,21.0
000000001309,0.0,2,21,Non,21.833333333333332
000000001309,0.0,2,21,Non,22.666666666666664
000000001309,0.0,2,21,Non,23.5
000000001311,0.0,2,21,Oui,21.0
000000001311,0.0,2,21,Non,21.833333333333332
000000001311,0.0,2,21,Non,22.666666666666664
000000001312,0.0,2,21,Oui,21.0
000000001312,0.0,2,21,Non,21.833333333333332
000000001312,0.0,2,21,Non,22.666666666666664
000000001401,0.0,2,33,Non,21.0
000000001402,0.0,2,33,Oui,21.0
000000001402,0.0,2,33,Non,21.833333333333332
000000001402,0.0,2,33,Oui,22.666666666666664
000000001402,0.0,2,33,Non,23.5
000000001402,0.0,2,33,Non,24.333333333333332
000000001402,0.0,2,33,Non,25.166666666666664
000000001403,0.0,2,33,Oui,21.0
000000001403,0.0,2,33,Non,21.833333333333332
000000001403,0.0,2,33,Non,22.666666666666664
000000001403,0.0,2,33,Non,23.5
000000001403,0.0,2,33,Non,24.333333333333332
000000001404,0.0,2,33,Non,21.833333333333332
000000001405,0.0,2,33,Oui,21.0
000000001405,0.0,2,33,Oui,21.833333333333332
000000001405,0.0,2,33,Non,22.666666666666664
000000001405,0.0,2,33,Non,23.5
000000001405,0.0,2,33,Non,24.333333333333332
000000001405,0.0,2,33,Non,25.166666666666664
000000001406,0.0,2,33,Non,21.833333333333332
000000001406,0.0,2,33,Non,22.666666666666664
000000001408,0.0,2,33,Non,21.0
000000001408,0.0,2,33,Non,21.833333333333332
000000001410,0.0,2,33,Non,21.0
000000001410,0.0,2,33,Non,21.833333333333332
000000001411,0.0,2,33,Oui,21.0
000000001411,0.0,2,33,Non,21.833333333333332
000000001411,0.0,2,33,Non,22.666666666666664
000000001411,0.0,2,33,Non,23.5
000000001412,0.0,2,33,Non,21.833333333333332
000000001412,0.0,2,33,Non,22.666666666666664
000000001502,0.0,1,42,Oui,6.0
000000001502,0.0,1,42,Oui,6.833333333333333
000000001502,0.0,1,42,Non,7.666666666666666
000000001502,0.0,1,42,Non,8.5
000000001503,0.0,1,42,Non,6.833333333333333
000000001503,0.0,1,42,Non,7.666666666666666
000000001503,0.0,1,42,Non,9.333333333333332
000000001503,0.0,1,42,Oui,10.166666666666666
000000001504,0.0,1,42,Non,6.0
000000001505,0.0,1,42,Oui,6.0
000000001505,0.0,1,42,Non,6.833333333333333
000000001505,0.0,1,42,Non,9.333333333333332
000000001506,0.0,1,42,Oui,6.0
000000001507,0.0,1,42,Oui,6.0
000000001507,0.0,1,42,Oui,6.833333333333333
000000001508,0.0,1,42,Oui,6.0
000000001509,0.0,1,42,Non,6.0
000000001509,0.0,1,42,Non,7.666666666666666
000000001509,0.0,1,42,Non,8.5
000000001510,0.0,1,42,Oui,6.0
000000001510,0.0,1,42,Non,6.833333333333333
000000001511,0.0,1,42,Oui,6.0
000000001511,0.0,1,42,Oui,6.833333333333333
000000001511,0.0,1,42,Non,7.666666666666666
000000001511,0.0,1,42,Non,8.5
000000001511,0.0,1,42,Non,9.333333333333332
000000001512,0.0,1,42,Oui,6.0
000000001512,0.0,1,42,Non,8.5
000000001601,0.0,1,44,Non,6.833333333333333
000000001601,0.0,1,44,Non,8.5
000000001601,0.0,1,44,Non,9.333333333333332
000000001602,0.0,1,44,Oui,6.0
000000001602,0.0,1,44,Non,6.833333333333333
000000001602,0.0,1,44,Non,7.666666666666666
000000001603,0.0,1,44,Oui,6.0
000000001603,0.0,1,44,Non,6.833333333333333
000000001603,0.0,1,44,Non,7.666666666666666
000000001603,0.0,1,44,Non,8.5
000000001603,0.0,1,44,Non,9.333333333333332
000000001603,0.0,1,44,Non,10.166666666666666
000000001603,0.0,1,44,Non,10.999999999999998
000000001603,0.0,1,44,Non,11.833333333333334
000000001604,0.0,1,44,Non,6.833333333333333
000000001605,0.0,1,44,Non,6.833333333333333
000000001605,0.0,1,44,Non,7.666666666666666
000000001605,0.0,1,44,Non,8.5
000000001606,0.0,1,44,Oui,6.0
000000001606,0.0,1,44,Non,6.833333333333333
000000001606,0.0,1,44,Non,7.666666666666666
000000001606,0.0,1,44,Non,8.5
000000001606,0.0,1,44,Non,9.333333333333332
000000001606,0.0,1,44,Non,10.166666666666666
000000001607,0.0,1,44,Oui,6.0
000000001607,0.0,1,44,Non,6.833333333333333
000000001608,0.0,1,44,Non,6.833333333333333
000000001608,0.0,1,44,Non,8.5
000000001608,0.0,1,44,Non,10.166666666666666
000000001608,0.0,1,44,Non,10.999999999999998
000000001608,0.0,1,44,Non,11.833333333333334
000000001608,0.0,1,44,Non,12.666666666666664
000000001609,0.0,1,44,Oui,6.0
000000001609,0.0,1,44,Non,6.833333333333333
000000001610,0.0,1,44,Oui,6.0
000000001610,0.0,1,44,Non,6.833333333333333
000000001610,0.0,1,44,Non,7.666666666666666
000000001610,0.0,1,44,Non,8.5
000000001610,0.0,1,44,Non,9.333333333333332
000000001611,0.0,1,44,Oui,6.0
